dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
fragmentation,+-2,0.0031841553213974604,0.036717740558681794,0.9318516451605897,95,19,-0.06878261617361886,0.07515092681641378
fragmentation,+-3,-0.17395447789122642,0.042109228909585,6.273881139091306e-4,133,19,-0.25648856655401303,-0.09142038922843981
fragmentation,+-4,-0.24902256469651657,0.04570764006567843,3.556779972239329e-5,171,19,-0.3386095392252463,-0.15943559016778686
fragmentation,+-5,-0.2702982761050146,0.04686280146629909,1.8192456167997617e-5,209,19,-0.36214936697896083,-0.1784471852310684
fragmentation,all,-0.37698045256231655,0.051824446957662904,9.238712833904512e-7,304,19,-0.4785563685993358,-0.2754045365252973
modularity,+-2,0.0484625524172904,0.018374630859252773,0.01672566311765645,95,19,0.012448275933154972,0.08447682890142583
modularity,+-3,0.003493206565676666,0.0213309802004784,0.871743165143162,133,19,-0.038315514627261,0.04530192775861433
modularity,+-4,-0.015010052499394026,0.02376306600651898,0.535552959218787,171,19,-0.061585661872171224,0.031565556873383166
modularity,+-5,-0.023272595500323817,0.025531733048407078,0.3740697216473753,209,19,-0.07331479227520168,0.026769601274554057
modularity,all,0.0010050932957404522,0.02574370634979515,0.96928644118025,304,19,-0.04945257114985804,0.051462757741338946
usaid_frag_delta_drop_unfunded,+-2,0.12835656625407815,0.011501677935629133,1.608727345126909e-9,88,19,0.10581327750024505,0.15089985500791125
usaid_frag_delta_drop_unfunded,+-3,0.10501129595085211,0.01386369178212055,5.289375771877531e-7,124,19,0.07783846005789583,0.1321841318438084
usaid_frag_delta_drop_unfunded,+-4,0.09117017502628336,0.013874263803250332,3.574559148930919e-6,156,19,0.0639766179719127,0.11836373208065401
usaid_frag_delta_drop_unfunded,+-5,0.08031407485555894,0.012437774504345262,4.478827656239826e-6,185,19,0.05593603682704223,0.10469211288407565
usaid_frag_delta_drop_unfunded,all,0.07846432060609328,0.011463656838908893,2.095092451650401e-6,263,19,0.055995553201831846,0.10093308801035471
usaid_n_partners,+-2,-2.1111111111111116,1.9482585723977317,0.2928490436648161,95,19,-5.929697913010665,1.7074756907884425
usaid_n_partners,+-3,-0.37037037037036935,2.461242295291689,0.8820585591285044,133,19,-5.194405269142079,4.45366452840134
usaid_n_partners,+-4,3.466666666666668,2.667059968472227,0.21006674032659253,171,19,-1.7607708715388966,8.694104204872232
usaid_n_partners,+-5,6.898148148148148,3.047925292155405,0.0362189702583733,209,19,0.9242145755235542,12.87208172077274
usaid_n_partners,all,31.41919191919194,4.0073329269862805,3.2613195743765316e-7,304,19,23.564819382298833,39.273564456085055
weighted_fragmentation,+-2,-0.0060621511757412375,0.04720712605844883,0.8992436690175711,95,19,-0.09858811825030095,0.08646381589881846
weighted_fragmentation,+-3,-0.17789346500438621,0.05364275008844056,0.0038408791738330818,133,19,-0.2830332551777297,-0.07275367483104271
weighted_fragmentation,+-4,-0.25991471524511706,0.057884972127225404,2.8305687784570147e-4,171,19,-0.37336926061447884,-0.14646016987575528
weighted_fragmentation,+-5,-0.2813936141297515,0.059126015643898515,1.5675850089411533e-4,209,19,-0.3972806047917926,-0.16550662346771042
weighted_fragmentation,all,-0.39742670077146675,0.06393234533286449,7.2577628392517684e-6,304,19,-0.5227340976238811,-0.27211930391905237
