level,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
network,fragmentation,+-2,-0.01384468165790247,0.03663199111332117,0.7098953590324293,95,19,-0.08564338424001196,0.057954020924207025
network,fragmentation,+-3,-0.1820054971693388,0.042041538854188716,4.040972774355216e-4,133,19,-0.2644069133235487,-0.09960408101512892
network,fragmentation,+-4,-0.25375620255233133,0.04581017187334255,2.9343475629244875e-5,171,19,-0.34354413942408274,-0.16396826568057993
network,fragmentation,+-5,-0.27327716259963153,0.046958189751938856,1.634175482627138e-5,209,19,-0.3653152145134317,-0.18123911068583137
network,fragmentation,all,-0.38008940529826385,0.052056908294757565,8.778682832153741e-7,304,19,-0.48212094555598867,-0.27805786504053903
network,usaid_n_partners,+-2,-2.1111111111111116,1.9482585723977317,0.2928490436648161,95,19,-5.929697913010665,1.7074756907884425
network,usaid_n_partners,+-3,-0.37037037037036935,2.461242295291689,0.8820585591285044,133,19,-5.194405269142079,4.45366452840134
network,usaid_n_partners,+-4,3.466666666666668,2.667059968472227,0.21006674032659253,171,19,-1.7607708715388966,8.694104204872232
network,usaid_n_partners,+-5,6.898148148148148,3.047925292155405,0.0362189702583733,209,19,0.9242145755235542,12.87208172077274
network,usaid_n_partners,all,31.41919191919194,4.0073329269862805,3.2613195743765316e-7,304,19,23.564819382298833,39.273564456085055
network,weighted_fragmentation,+-2,-0.007632261806317352,0.047181170949042686,0.8732928710657777,95,19,-0.10010735686644101,0.08484283325380632
network,weighted_fragmentation,+-3,-0.1777769231987092,0.053628282174053916,0.0038517398290668324,133,19,-0.28288835625985487,-0.07266549013756352
network,weighted_fragmentation,+-4,-0.2576414006427175,0.05800996926523693,3.153008873054735e-4,171,19,-0.3713409404025819,-0.14394186088285313
network,weighted_fragmentation,+-5,-0.27825642630854075,0.05916775312625548,1.7734380391616728e-4,209,19,-0.3942252224360015,-0.16228763018108
network,weighted_fragmentation,all,-0.39638904342548426,0.06406860658327997,7.702488342629093e-6,304,19,-0.521963512328713,-0.27081457452225555
