state,n_orgs,n_years,n_rows,pct_usaid_funded_pre,pct_sole_usaid_pre,mean_exposure_pre
bdi,197,16,2117,0.08645533141210375,0.06195965417867435,0.10601558193500628
car,88,16,981,0.0353356890459364,0.0035335689045936395,0.05280665055400038
cdi,105,16,1026,0.04487179487179487,0.038461538461538464,0.055859338311261386
chad,93,16,591,0.05537459283387622,0.003257328990228013,0.11569404764773693
col,40,16,584,0.08860759493670886,0.06962025316455696,0.16783453887884267
gb,58,16,604,0,0,0
hti,42,16,584,0.15753424657534246,0.1506849315068493,0.1906392694063927
lbn,218,16,2204,0.0452418096723869,0.031201248049921998,0.08410763254274023
lib,13,16,181,0.1111111111111111,0.044444444444444446,0.15888888888888889
mali,162,16,1990,0.13114754098360656,0.06323185011709602,0.1659028157231339
mmr,26,16,386,0.09,0.09,0.12583333333333332
npl,224,16,1528,0.06676136363636363,0.009943181818181818,0.09016970209674595
sdn,223,16,2011,0.15717821782178218,0.07549504950495049,0.1846892552511114
sle,138,16,1198,0.01652892561983471,0.004132231404958678,0.027542991902496036
som,55,16,693,0.11377245508982035,0.09580838323353294,0.16873180046832742
ssud,71,16,815,0.2436548223350254,0.2182741116751269,0.2779187817258883
syr,25,16,371,0.06542056074766354,0.018691588785046728,0.2590120160213618
tls,129,16,999,0.0321285140562249,0.004016064257028112,0.0350018848882083
yem,74,16,896,0.06493506493506493,0.04329004329004329,0.08792688792688792
