dep_var,window,estimate,std_error,p_value,n,n_orgs,lb,ub
in_degree,+-2,-0.08373816609000398,0.04885564990269973,0.08668784051545594,8391,1968,-0.17949523989929544,0.012018907719287486
in_degree,+-3,-0.09747792137475494,0.06779175066343669,0.15061985054970967,11007,1980,-0.23034975267509086,0.035393909925580974
in_degree,+-4,-0.11372868378285911,0.0958938979204617,0.23577068979097693,13154,1981,-0.301680723706964,0.07422335614124581
in_degree,+-5,-0.14755314381929988,0.12941715635285117,0.2543675906545419,15079,1981,-0.40121077027088814,0.10610448263228842
n_funders,+-2,-0.08373816609000398,0.04885564990269973,0.08668784051545594,8391,1968,-0.17949523989929544,0.012018907719287486
n_funders,+-3,-0.09747792137475494,0.06779175066343669,0.15061985054970967,11007,1980,-0.23034975267509086,0.035393909925580974
n_funders,+-4,-0.11372868378285911,0.0958938979204617,0.23577068979097693,13154,1981,-0.301680723706964,0.07422335614124581
n_funders,+-5,-0.14755314381929988,0.12941715635285117,0.2543675906545419,15079,1981,-0.40121077027088814,0.10610448263228842
sole_usaid_funded,+-2,-0.007966485198254138,0.012251475163120295,0.5156086105048385,8391,1968,-0.031979376517969914,0.01604640612146164
sole_usaid_funded,+-3,-0.022630344194395458,0.018589557140142918,0.22360912314422002,11007,1980,-0.05906587618907558,0.013805187800284658
sole_usaid_funded,+-4,-0.02926630323448436,0.023201978995568837,0.20732380249738533,13154,1981,-0.07474218206579927,0.016209575596830558
sole_usaid_funded,+-5,-0.03543831602057175,0.026534994327947783,0.1818560129231214,15079,1981,-0.0874469049033494,0.0165702728622059
n_non_usaid_funders,+-2,-0.0805293668314741,0.04780125779679134,0.09221080757916178,8391,1968,-0.17421983211318515,0.013161098450236927
n_non_usaid_funders,+-3,-0.08513345747291115,0.06659032068070632,0.20123509625551514,11007,1980,-0.21565048600709552,0.04538357106127322
n_non_usaid_funders,+-4,-0.09608438024517564,0.09484412977195447,0.31114729438015637,13154,1981,-0.2819788745982064,0.08981011410785512
n_non_usaid_funders,+-5,-0.12127083421545874,0.1284640832516851,0.3452818795126361,15079,1981,-0.37306043738876155,0.13051876895784403
total_degree,+-2,0.2954671649804431,0.29372182940881136,0.31456713290717647,8391,1968,-0.2802276206608272,0.8711619506217134
total_degree,+-3,0.5661549064942125,0.5049886574443675,0.2623711036447053,11007,1980,-0.4236228620967477,1.5559326750851727
total_degree,+-4,0.6928360409264254,0.6498358559058025,0.2864764068816399,13154,1981,-0.5808422366489476,1.9665143185017984
total_degree,+-5,0.9044694288916441,0.8728758605584511,0.3002378020925811,15079,1981,-0.8063672578029201,2.615306115586208
rewire_in,+-2,0.0026236711909141566,0.008374669985347024,0.7540971276028001,7599,1915,-0.01379068198036601,0.019038024362194324
rewire_in,+-3,0.017974700766690537,0.010172522425400933,0.0773891512017876,9814,1925,-0.001963443187095293,0.03791284472047637
rewire_in,+-4,0.020915845157523417,0.01228510670832597,0.08881541199832396,11725,1936,-0.0031629639907954817,0.04499465430584232
rewire_in,+-5,0.017644202889709797,0.011602473433444633,0.12849122522399983,12804,1940,-0.005096645039841682,0.040385050819261276
rewire_out,+-2,0.010641496256201687,0.017391595459082098,0.5406926120876221,7599,1915,-0.023446030843599225,0.044729023356002595
rewire_out,+-3,0.007478487215877563,0.01543117942439717,0.6279905597265012,9814,1925,-0.02276662445594089,0.03772359888769602
rewire_out,+-4,-9.482553730713951e-4,0.015329647849527487,0.9506826137930382,11725,1936,-0.030994365158145267,0.029097854412002477
rewire_out,+-5,-3.731729951655955e-5,0.015065789680245616,0.9980239317947235,12804,1940,-0.029566265072797967,0.029491630473764848
