dep_var,window,post_start,beta,se,p
fragmentation,+-3,2010,-0.21136421610449627,0.03530930724646557,1.9016264625227617e-5
fragmentation,+-3,2011,-0.22912463180342843,0.03532827816679468,7.517767661029317e-6
fragmentation,+-3,2012,-0.3258958092263399,0.038041652470123054,2.2564931447469202e-7
fragmentation,+-5,2010,-0.30353723980472436,0.044190542653451695,3.7750396019527984e-6
fragmentation,+-5,2011,-0.3447098416848114,0.04339492159473393,6.078281678487156e-7
fragmentation,+-5,2012,-0.4300766627204814,0.044156447043540756,3.9589120776172424e-8
weighted_fragmentation,+-3,2010,-0.22370642019156162,0.047153436872284106,2.2000676006768213e-4
weighted_fragmentation,+-3,2011,-0.22864782591842261,0.04620097907909057,1.450721373343856e-4
weighted_fragmentation,+-3,2012,-0.33085283537218374,0.049188275531454426,4.866300771903549e-6
weighted_fragmentation,+-5,2010,-0.3235065633898044,0.05669748395048187,3.248379424143529e-5
weighted_fragmentation,+-5,2011,-0.36252228579705115,0.05538704689713478,6.744309508739379e-6
weighted_fragmentation,+-5,2012,-0.4585868114115575,0.056555930260577696,4.653773586872657e-7
usaid_frag_delta_drop_unfunded,+-3,2010,0.09938330381100421,0.015289782258295928,7.323090540907821e-6
usaid_frag_delta_drop_unfunded,+-3,2011,0.11263062671079441,0.01362542259762651,3.617267870820887e-7
usaid_frag_delta_drop_unfunded,+-3,2012,0.1221143242853702,0.011522575521695663,1.2173226336622262e-8
usaid_frag_delta_drop_unfunded,+-5,2010,0.08306932479368635,0.013932889968042246,1.9899375158924156e-5
usaid_frag_delta_drop_unfunded,+-5,2011,0.09348921782070346,0.01241224489353455,1.2013116262996145e-6
usaid_frag_delta_drop_unfunded,+-5,2012,0.09526218096407314,0.010660509973017727,1.2828935572033461e-7
usaid_n_partners,+-3,2010,1.2500000000000018,2.303105688396694,0.5947854461325668
usaid_n_partners,+-3,2011,4.145833333333335,2.930778288970988,0.17635617489893546
usaid_n_partners,+-3,2012,6.087500000000002,3.0004154446911415,0.0594495273134806
usaid_n_partners,+-5,2010,8.977083333333331,2.885570796278572,0.006722784939249113
usaid_n_partners,+-5,2011,12.289583333333335,3.4411464987474343,0.00254884405739742
usaid_n_partners,+-5,2012,15.390624999999993,3.6853685562679903,7.132140151025174e-4
