dep_var,window,beta_haiti,placebo_mean,placebo_sd,z_vs_placebo,p_perm_twosided,n_placebos
fragmentation,+-2,0.0031841553213974604,0.03906409115908261,0.11491556291112834,-0.3122286914735251,1,16
fragmentation,+-3,-0.17395447789122642,0.04915219466351957,0.144877406303015,-1.5399687104289566,0.1875,16
fragmentation,+-4,-0.24902256469651657,0.0529364184154908,0.16685134517962066,-1.8097485686251982,0.125,16
fragmentation,+-5,-0.2702982761050146,0.050102143688861206,0.18133551352454164,-1.7668928361929135,0.0625,16
fragmentation,all,-0.37698045256231655,0.0558562328932142,0.20842980065022534,-2.076654509601014,0,16
weighted_fragmentation,+-2,-0.0060621511757412375,0.04834743804198742,0.15795807629733769,-0.34445588660695603,0.9375,16
weighted_fragmentation,+-3,-0.17789346500438621,0.058241089642261955,0.1934749833703774,-1.2204914068637274,0.375,16
weighted_fragmentation,+-4,-0.25991471524511706,0.0625576545979551,0.2187941154642033,-1.4738621701909143,0.25,16
weighted_fragmentation,+-5,-0.2813936141297515,0.06008553611504226,0.23265764008234063,-1.467732373301559,0.3125,16
weighted_fragmentation,all,-0.39742670077146675,0.06620468575624881,0.25877010461088074,-1.7916729106899347,0.125,16
density,+-2,-6.064096841153831e-4,3.263214389673099e-4,0.018046568939638637,-0.051684679021394626,0.9375,16
density,+-3,-0.001670615916714796,7.020149999292076e-4,0.022235754505195646,-0.10670341391337139,0.9375,16
density,+-4,-0.003228882375888848,0.0011027642537244726,0.02556773356094703,-0.16941848284235939,0.875,16
density,+-5,-0.0042733995814036125,0.0014809038809332038,0.027890438112490958,-0.20631814527716955,0.75,16
density,all,-0.014452185245533277,0.003068688011775154,0.04315441258974302,-0.40600421152465893,0.5,16
modularity,+-2,0.0484625524172904,0.009409177550998238,0.07337248548499307,0.5322618500402276,0.5,16
modularity,+-3,0.003493206565676666,0.012114347324065938,0.08758790168443079,-0.09842844265695802,0.875,16
modularity,+-4,-0.015010052499394026,0.010844335751671052,0.10096429837631779,-0.25607455968940296,1,16
modularity,+-5,-0.023272595500323817,0.008518257421776084,0.10968353136983003,-0.28984162458179585,0.875,16
modularity,all,0.0010050932957404522,0.005067042877968693,0.11199408073489815,-0.036269323839027756,1,16
usaid_frag_delta_drop_unfunded,+-2,0.12835656625407815,-0.0010723051247269273,0.0451494032144551,2.8666795608356335,0,14
usaid_frag_delta_drop_unfunded,+-3,0.10501129595085211,-2.1526588493869284e-5,0.058475387801306976,1.7961885587870938,0.13333333333333333,15
usaid_frag_delta_drop_unfunded,+-4,0.09117017502628336,-0.00329444085122261,0.0591615071470213,1.5967242964712425,0.13333333333333333,15
usaid_frag_delta_drop_unfunded,+-5,0.08031407485555894,-0.004769880746842745,0.053662127280909674,1.5855494352097805,0.13333333333333333,15
usaid_frag_delta_drop_unfunded,all,0.07846432060609328,-0.0059107450518083495,0.047043890218352584,1.793539294184169,0.06666666666666667,15
usaid_n_partners,+-2,-2.1111111111111116,-0.8796296296296304,7.879177352791623,-0.15629569260110163,0.6875,16
usaid_n_partners,+-3,-0.37037037037036935,-1.6898148148148142,9.449859105067342,0.13962583248854082,0.9375,16
usaid_n_partners,+-4,3.466666666666668,-2.068402777777778,10.308584504210687,0.536937873689988,0.625,16
usaid_n_partners,+-5,6.898148148148148,-2.5776620370370376,11.84091506316282,0.8002599574980912,0.4375,16
usaid_n_partners,all,31.41919191919194,-4.438510101010103,16.19568278230202,2.2140284236355803,0.0625,16
