dep_var,pre_w,post_w,estimate,std_error,p_value
fragmentation,2,2,-0.03399151816201743,0.02801005531953287,0.24253187443617485
fragmentation,2,3,-0.15648530320763726,0.03146802244257173,1.382434543928097e-4
fragmentation,2,5,-0.2857145991073276,0.03729851344472418,9.693092124465964e-7
fragmentation,2,8,-0.3645692849663711,0.041555100969780774,1.6424800269718433e-7
fragmentation,2,10,-0.39223316657626384,0.04323965444433714,1.0474552236849048e-7
fragmentation,3,2,-0.0888704310588765,0.03204502486954758,0.013567841004234233
fragmentation,3,3,-0.21136421610449627,0.03530930724646557,1.9016264625227617e-5
fragmentation,3,5,-0.34059351200418664,0.04077528914022918,3.1532465013508876e-7
fragmentation,3,8,-0.41944819786323,0.04481931048585516,6.852159328681949e-8
fragmentation,3,10,-0.44711207947312215,0.04645514219572281,4.665339211475048e-8
fragmentation,4,2,-0.07981500936408353,0.035315207311928026,0.03811565397366001
fragmentation,4,3,-0.20230879440970323,0.037704170650228803,6.3086705978571e-5
fragmentation,4,5,-0.3315380903093938,0.0425167906002774,7.717373506150391e-7
fragmentation,4,8,-0.41039277616843706,0.047661241551192196,2.1084702165717965e-7
fragmentation,4,10,-0.43805665777832997,0.04975380925706479,1.565840767651747e-7
fragmentation,5,2,-0.05181415885941423,0.038709846405089156,0.19943550031882432
fragmentation,5,3,-0.17430794390503399,0.04035576400183312,5.289784541696412e-4
fragmentation,5,5,-0.30353723980472436,0.044190542653451695,3.7750396019527984e-6
fragmentation,5,8,-0.3823919256637677,0.04893729225418011,7.515461273628266e-7
fragmentation,5,10,-0.4100558072736604,0.05079060531957566,4.924343087366317e-7
weighted_fragmentation,2,2,-0.05154592662732187,0.038501438301069016,0.19934672620709115
weighted_fragmentation,2,3,-0.19051662014815443,0.04225624313249565,3.5713156867156964e-4
weighted_fragmentation,2,5,-0.33962641238059266,0.048435454864959586,2.9338573820011365e-6
weighted_fragmentation,2,8,-0.4274828645873938,0.05372989822852741,5.954934327076194e-7
weighted_fragmentation,2,10,-0.45534958359599204,0.05512582285888789,3.652058350596893e-7
weighted_fragmentation,3,2,-0.08473572667072912,0.04376288287644168,0.070706455507260485
weighted_fragmentation,3,3,-0.22370642019156162,0.047153436872284106,2.2000676006768213e-4
weighted_fragmentation,3,5,-0.3728162124239998,0.05277522577639825,2.677548297352064e-6
weighted_fragmentation,3,8,-0.46067266463080087,0.057659660518663114,5.640596009745429e-7
weighted_fragmentation,3,10,-0.4885393836393989,0.05896840480943637,3.5123010412078797e-7
weighted_fragmentation,4,2,-0.06692951507007487,0.04785055752126166,0.18098187990120038
weighted_fragmentation,4,3,-0.20590020859090724,0.050221000491216625,8.367612968889266e-4
weighted_fragmentation,4,5,-0.3550100008233459,0.05513308930321836,8.183439737327183e-6
weighted_fragmentation,4,8,-0.4428664530301468,0.060954222000830664,1.889599589638604e-6
weighted_fragmentation,4,10,-0.4707331720387451,0.0627024583144223,1.252126602321824e-6
weighted_fragmentation,5,2,-0.03542607763653361,0.05138981956982044,0.5004729837030162
weighted_fragmentation,5,3,-0.17439677115736613,0.05285257956799389,0.004522319559485593
weighted_fragmentation,5,5,-0.3235065633898044,0.05669748395048187,3.248379424143529e-5
weighted_fragmentation,5,8,-0.41136301559660554,0.0616232975031869,5.330758205387481e-6
weighted_fragmentation,5,10,-0.4392297346052036,0.0630576348045955,3.1828138674910096e-6
modularity,2,2,0.036997934083855724,0.017884151852918938,0.055126063847178934
modularity,2,3,0.0387101615986744,0.019346801139714157,0.06267114486957373
modularity,2,5,0.0335979914109989,0.02129103335243168,0.13412176381416144
modularity,2,8,0.046481144544429254,0.020184079176726318,0.035047725038084995
modularity,2,10,0.05986747878561418,0.020527559672983576,0.010090523376144262
modularity,3,2,-0.009879624022766376,0.019926318733566227,0.6267711904731686
modularity,3,3,-0.008167396507947738,0.021346793889865667,0.7070472748005806
modularity,3,5,-0.013279566695623255,0.02312790022651523,0.5738306319515587
modularity,3,8,-3.964135621928985e-4,0.02185045692105519,0.9857497895913649
modularity,3,10,0.012989920678992042,0.021984663948143142,0.5628667063081525
modularity,4,2,-0.023492097077435405,0.02224952080045349,0.3067208758494827
modularity,4,3,-0.021779869562616766,0.02338891427078842,0.36558646482337154
modularity,4,5,-0.026892039750292248,0.024994767387323983,0.29792561197837963
modularity,4,8,-0.014008886616861912,0.02435450370289046,0.5731520471760758
modularity,4,10,-6.225523756769808e-4,0.02498285212813296,0.9804275707712435
modularity,5,2,-0.026717707463869367,0.02420251371774909,0.28595289480788566
modularity,5,3,-0.02500547994905072,0.02524795626088339,0.3367227813104996
modularity,5,5,-0.030117650136726196,0.026729318913714602,0.2764579994916092
modularity,5,8,-0.01723449700329588,0.02641577493040458,0.5233862559498289
modularity,5,10,-0.003848162762110947,0.027290949446718442,0.8896259369396903
density,2,2,-8.83640011341496e-4,0.004398754890301209,0.8433206026383206
density,2,3,-0.0020557806772142024,0.004621172438263764,0.6623792080943622
density,2,5,-0.004317908876818511,0.004989050210758772,0.39956850866285476
density,2,8,-0.009277964432338814,0.0063259430300037405,0.16184955072745472
density,2,10,-0.015465185524686361,0.009167354486822531,0.11100195263470347
density,3,2,-0.0010756149393689788,0.005209544258436897,0.8390282468685872
density,3,3,-0.0022477556052416863,0.005419265209916968,0.6838173874213941
density,3,5,-0.004509883804845991,0.005755159677599377,0.4447065599202872
density,3,8,-0.00946993936036629,0.006995322469363755,0.19463037214224888
density,3,10,-0.01565716045271382,0.009698403833143708,0.12598482217643323
density,4,2,-0.0018144918680616322,0.005872052521533566,0.7613053138849122
density,4,3,-0.0029866325339343385,0.006075165511314464,0.6296686500291948
density,4,5,-0.005248760733538648,0.006394824745849855,0.42383094896975093
density,4,8,-0.01020881628905895,0.0075792467304009225,0.19676773694462052
density,4,10,-0.016396037381406492,0.010185567122629068,0.12700624855447681
density,5,2,-0.002017176519894707,0.006260442424753155,0.7514654253488382
density,5,3,-0.003189317185767414,0.0064710712585349375,0.6288084326414447
density,5,5,-0.00545144538537172,0.006796757960302591,0.4342668241134021
density,5,8,-0.010411500940892021,0.007963109581643752,0.20953127892615295
density,5,10,-0.01659872203323956,0.010515956599325157,0.13403055667689778
